brand,product_name,product_full,standard_ingredients,num_ingredients
센텔리안24,마데카 멜라 캡처 앰플 맥스 스페셜,센텔리안24 마데카 멜라 캡처 앰플 맥스 스페셜,,0
반코르,바쿠치올 세럼 비사보롤,반코르 바쿠치올 세럼 비사보롤,,0
피지오겔,사이언수티컬즈 디멜라나이저 토닝 앰플 세럼,피지오겔 사이언수티컬즈 디멜라나이저 토닝 앰플 세럼,,0
라로슈포제,순수 비타민 C12 세럼,라로슈포제 순수 비타민 C12 세럼,피피지-16,1
이즈앤트리,초저분자 히아루론산 세럼,이즈앤트리 초저분자 히아루론산 세럼,,0
[1+1]크리니크,크리니크 프레쉬 프레스드 데일리 부스터 위드 퓨어 비타민 C %,[1+1]크리니크 크리니크 프레쉬 프레스드 데일리 부스터 위드 퓨어 비타민 C %,,0
리쥬란,힐러 턴오버 앰플 듀얼 이펙트,리쥬란 힐러 턴오버 앰플 듀얼 이펙트,,0
넘버즈인,9번 엔엠엔 바이오 리프팅 원액에센스,넘버즈인 9번 엔엠엔 바이오 리프팅 원액에센스,히스티딘,1
스킨푸드,로열허니 프로폴리스 인리치 에센스 리필기획,스킨푸드 로열허니 프로폴리스 인리치 에센스 리필기획,,0
LBB,골드렐라 펩타이드 안티 멜라닌 에센스,LBB 골드렐라 펩타이드 안티 멜라닌 에센스,,0
[NEW]메디큐브,메디큐브 에이지알 PDRN 부스터젤,[NEW]메디큐브 메디큐브 에이지알 PDRN 부스터젤,,0
라운드랩,자작나무 앰플,라운드랩 자작나무 앰플,,0
구달,청귤 비타C 잡티케어 세럼,구달 청귤 비타C 잡티케어 세럼,,0
아임프롬,머그워트 에센스150ml,아임프롬 머그워트 에센스150ml,,0
아벤느,클리낭스 A.H.A 세럼,아벤느 클리낭스 A.H.A 세럼,,0
바이오힐,보 프로바이오덤 3D 리프팅 앰플,바이오힐 보 프로바이오덤 3D 리프팅 앰플,,0
라돌프,퓨어파지 앰플 RX,라돌프 퓨어파지 앰플 RX,,0
로벡틴,비타 다크 스팟 세럼,로벡틴 비타 다크 스팟 세럼,,0
이니스프리,그린티 밀크 보습 에센스,이니스프리 그린티 밀크 보습 에센스,,0
웰라쥬,리얼 시카 카밍 트러블 앰플,웰라쥬 리얼 시카 카밍 트러블 앰플,,0
메디큐브,연어 PDRN 핑크 앰플,메디큐브 연어 PDRN 핑크 앰플,,0
더랩바이블랑두,올리고 히알루론산 딥 글로우 세럼,더랩바이블랑두 올리고 히알루론산 딥 글로우 세럼,,0
닥터자르트,바이탈 하이드라 솔루션 하이드로 플럼프 트리트먼트 에센스,닥터자르트 바이탈 하이드라 솔루션 하이드로 플럼프 트리트먼트 에센스,,0
메디힐,티트리 앰플,메디힐 티트리 앰플,,0
리쥬란,더마 힐러 모이스처 트리트먼트 앰플,리쥬란 더마 힐러 모이스처 트리트먼트 앰플,,0
토리든,셀메이징 저분자 콜라겐 앰플,토리든 셀메이징 저분자 콜라겐 앰플,,0
에스트라,아토베리어365 세라-히알 속수분 앰플,에스트라 아토베리어365 세라-히알 속수분 앰플,,0
코스알엑스,풀핏 프로폴리스 라이트 앰플,코스알엑스 풀핏 프로폴리스 라이트 앰플,,0
퍼셀,20억/mL 픽셀바이옴 원액,퍼셀 20억/mL 픽셀바이옴 원액,,0
센텔리안24,마데카 분말 티트리 에이씨,센텔리안24 마데카 분말 티트리 에이씨,,0
메디힐,비타민씨 브라이트닝 세럼,메디힐 비타민씨 브라이트닝 세럼,,0
넘버즈인,5번 글루타치온C 앰플,넘버즈인 5번 글루타치온C 앰플,,0
라운드랩,약콩 판테놀 앰플,라운드랩 약콩 판테놀 앰플,,0
디오디너리,레티놀 % 인 스쿠알란,디오디너리 레티놀 % 인 스쿠알란,,0
아이오페,바이오 컨디셔닝 에센스,아이오페 바이오 컨디셔닝 에센스,,0
조선미녀,광채프로폴리스세럼,조선미녀 광채프로폴리스세럼,,0
이즈앤트리,어니언 뉴페어 B5 앰플,이즈앤트리 어니언 뉴페어 B5 앰플,,0
더,에센셜 바이 아리얼 히알루로닉 세럼,더 에센셜 바이 아리얼 히알루로닉 세럼,,0
리쥬란,힐러 트리플 래디언스 앰플,리쥬란 힐러 트리플 래디언스 앰플,,0
바버,24Days 홀리데이 앰플 캘린더,바버 24Days 홀리데이 앰플 캘린더,,0
에스네이처,아쿠아 스쿠알란 세럼,에스네이처 아쿠아 스쿠알란 세럼,,0
차앤박(CNP),차앤박 프로폴리스 액티브 앰플 더블기획,차앤박(CNP) 차앤박 프로폴리스 액티브 앰플 더블기획,,0
라로슈포제,에빠끌라 세럼,라로슈포제 에빠끌라 세럼,,0
앰플엔,아크네샷 앰플,앰플엔 아크네샷 앰플,,0
퍼셀,880억/mL 글루타치온 플렉서블 리포좀,퍼셀 880억/mL 글루타치온 플렉서블 리포좀,,0
[쏙보습,크리니크 모이스춰 써지 액티브 글로우 세럼 /단품,[쏙보습 크리니크 모이스춰 써지 액티브 글로우 세럼 /단품,피이지-10,1
퍼셀,20억/mL 픽셀바이옴 원액,퍼셀 20억/mL 픽셀바이옴 원액,,0
라운드랩,비타 나이아신 세럼,라운드랩 비타 나이아신 세럼,,0
키엘,울트라 퓨어 세럼 3종,키엘 울트라 퓨어 세럼 3종,,0
숨37,시크릿 에센스,숨37 시크릿 에센스,,0
메디톡스,뉴라덤 코어타임 앰플,메디톡스 뉴라덤 코어타임 앰플,,0
프리메라,오가니언스 워터리 에센스 리필기획,프리메라 오가니언스 워터리 에센스 리필기획,,0
디오디너리,히알루로닉 애시드 %,디오디너리 히알루로닉 애시드 %,,0
AXIS-Y,잡티케어 글로우 세럼,AXIS-Y 잡티케어 글로우 세럼,,0
넘버즈인,3번 보들보들 결 세럼,넘버즈인 3번 보들보들 결 세럼,,0
